Date,Gold,Silver,Yuan,ETH,LTC,XRP,ETC,STR,DASH,SC,XMR,XEM,BTC
2019-04-05,1294.35,15.1125,6.7128,170.81574216406452,87.65403678350407,0.34840908129420256,6.342316599833216,0.12607717435720034,130.43050089190245,0.003417884316289995,67.83015823383985,0.0713849716465893,5099.2270203285
2019-04-06,1295.725,15.12625,6.71645,176.30231771802175,88.86814517161744,0.3542057865579301,6.793162703698485,0.1287150714601382,133.07200014604967,0.003490354575833304,69.29060268254725,0.07229003211021473,5169.337653823524
2019-04-07,1296.4125,15.133125,6.718275,179.04560549500036,89.47519936567413,0.3571041391897939,7.018585755631119,0.13003402001160713,134.39274977312328,0.0035265897056049587,70.02082490690094,0.07274256234202744,5204.392970571037
2019-04-08,1297.1,15.14,6.7201,181.788893271979,90.08225355973082,0.3600024918216576,7.244008807563754,0.13135296856307604,135.71349940019692,0.0035628248353766134,70.75104713125465,0.07319509257384015,5239.44828731855
2019-04-09,1301.85,15.255,6.7142,177.1274376396201,87.24285439069149,0.35226527516530337,7.01751429672479,0.12701572088553564,132.70353283660242,0.003493453735357507,68.93647898311129,0.07310182293986905,5214.110052772399
2019-04-10,1304.8,15.245,6.711,179.0979532609996,88.75045889034615,0.3549556383499456,7.168779433331774,0.1268833960967343,131.1621479140022,0.0034965779300143887,70.47962070159079,0.07353409343727231,5297.84534850665
2019-04-11,1304.65,15.16,6.7088,167.1427503595745,80.08893290259192,0.3302529864073513,6.405935851602113,0.11680365111820029,123.23209840497192,0.003172065864795628,66.1200757563798,0.06686919492399815,5116.2352657994
2019-04-12,1296.15,15.065,6.722,163.95336017660512,78.5953281988927,0.3253120807569454,6.21699137829309,0.11352429633475072,120.06181505194104,0.003072307930975951,67.06042362059917,0.06492139218078691,5036.5703786491
2019-04-13,1291.45,15.0,6.7166,163.72569701286352,79.43539575973365,0.32366885104122906,6.220816041973199,0.11406488916371757,119.80532881298303,0.0030890047876900523,66.30389211000008,0.06547786849032941,5063.942274901725
2019-04-14,1289.1,14.967500000000001,6.7139,163.61186543099274,79.85542954015412,0.32284723618337086,6.222728373813254,0.11433518557820099,119.67708569350404,0.0030973532160471027,65.92562635470054,0.06575610664510068,5077.628223028038
2019-04-15,1286.75,14.935,6.7112,163.49803384912192,80.2754633205746,0.3220256213255127,6.224640705653308,0.11460548199268443,119.54884257402503,0.0031057016444041535,65.547360599401,0.06603434479987193,5091.31417115435
2019-04-16,1283.75,14.945,6.7097,164.21190476661627,79.8483405749608,0.32151159254628225,6.2162329138278,0.11387617300242621,119.09856816665285,0.003027802707139768,66.47607557822299,0.06430231850925645,5131.86899515215
2019-04-17,1276.1,15.0,6.711,166.3614311980193,79.95078484072884,0.33295510079784957,6.226108970494145,0.11575371780913164,119.9107747591746,0.0030282885128234704,67.81225582017234,0.06495156741297238,5221.187091074949
2019-04-18,1276.5,14.955,6.6911,172.63646029608242,81.5982908920733,0.3396333320299697,6.287194045465601,0.11821578983639705,123.14339693707757,0.003055488329104737,68.72904817738349,0.06490278657684545,5268.08332604265
2019-04-19,1274.975,14.965,6.69965,173.0517845707045,79.32137432165916,0.3318598547260959,6.1373096110272005,0.11507083579637332,123.09065119886924,0.003023783178127338,69.29758914419082,0.06439459667086606,5404.48428075275
2019-04-20,1274.2125,14.969999999999999,6.703925,173.25944670801556,78.1829160364521,0.327973116074159,6.062367393808001,0.11349835877636147,123.06427832976507,0.0030079306026386384,69.5818596275945,0.06414050171787636,5472.6847581078
2019-04-21,1273.8312500000002,14.9725,6.7060625,173.36327777667108,77.61368689384855,0.32602974674819063,6.024896285198402,0.11271212026635553,123.05109189521299,0.003000004314894289,69.72399486929633,0.06401345424138152,5506.784996785325
2019-04-22,1273.640625,14.973749999999999,6.70713125,173.41519331099886,77.32907232254678,0.3250580620852064,6.006160730893601,0.11231900101135256,123.04449867793696,0.0029960411710221145,69.79506249014725,0.0639499305031341,5523.835116124088
